# Source: 游戏机制链图谱_283条玩法路径_公开分享版_v1.9_含元素周期表.pdf; author: 六边形老闪（张鹏）
id	family_no	family_name	family_scope	name	formula	explanation	common_examples	representative
H018	2	来去自如	移动、空间与运输	推动物体	行动者选择 → 侦测 → 耦合位移 → 放置	主体移动把相邻对象一起推到新位置。	推箱子、物理推车	no
H019	2	来去自如	移动、空间与运输	牵引物体	连接 → 行动者选择 → 耦合位移 → 放置	先建立牵引关系，再让从体随主体移动。	拖车、抓钩、磁吸	no
H020	2	来去自如	移动、空间与运输	携带交付	连接 → 耦合位移 → 侦测 → 断开 → 放置	对象随角色移动，到达目标后解除关系并交付。	护送、搬运、取货送货	yes
H021	2	来去自如	移动、空间与运输	传送迁移	行动者选择 → 移除 → 生成 → 放置	对象从旧地点退出，并在目标地点重新进入。	传送门、快速旅行	no
H022	2	来去自如	移动、空间与运输	自动路径	行动者选择 → 侦测 → 连接 → 耦合位移	系统建立路径关系，对象沿路径自动移动。	自动寻路、轨道运输	no
H023	2	来去自如	移动、空间与运输	传送带运输	放置 → 连接 → 耦合位移 → 分配	对象进入运输网络，随载体移动并在节点分流。	工厂流水线、物流带	no
H024	2	来去自如	移动、空间与运输	朝向调整	行动者选择 → 旋转 → 侦测	对象改变朝向，系统重新判断覆盖和作用方向。	炮塔转向、拼块旋转	no
H025	3	楚河汉界	棋类吃子、区域与网络	踏入吃子	行动者选择 → 位移 → 侦测 → 移除 → 放置	棋子进入敌方位置，敌方退出，己方占据该位。	国际象棋、象棋	no
H026	3	楚河汉界	棋类吃子、区域与网络	跳跃吃子	行动者选择 → 侦测 → 位移 → 移除 → 放置	跨越目标到达落点，并移除被跨越对象。	西洋跳棋、孔明棋	no
H027	3	楚河汉界	棋类吃子、区域与网络	包围提子	放置 → 连接 → 侦测 → 锁定 → 移除	落子改变邻接网络，被完全围住的对象退出。	围棋、围捕棋	yes
H028	3	楚河汉界	棋类吃子、区域与网络	替位俘获	行动者选择 → 侦测 → 替换 → 控制权转移	新对象接替目标位置或目标改变阵营。	翻转棋、感染棋	no
H029	3	楚河汉界	棋类吃子、区域与网络	连线达成	放置 → 连接 → 侦测 → 锁定	落子形成指定连线后，继续行动或终局入口被关闭。	五子棋、四子棋	no
H030	3	楚河汉界	棋类吃子、区域与网络	区域围合	放置 → 连接 → 侦测 → 控制权转移	边界闭合后，内部区域归属发生变化。	围地游戏、点格棋	no
H031	3	楚河汉界	棋类吃子、区域与网络	区域多数	分配 → 放置 → 侦测 → 标量调整 → 控制权转移	比较各方影响量，优势方取得区域控制。	区域控制桌游、战争游戏	no
H032	3	楚河汉界	棋类吃子、区域与网络	据点占领	位移 → 侦测 → 延迟执行 → 控制权转移 → 连接	单位停留并完成占领，随后据点与阵营建立关系。	山丘之王、据点战	no
H033	3	楚河汉界	棋类吃子、区域与网络	控制区封锁	连接 → 侦测 → 锁定	单位与周围区域建立威胁关系，限制敌方行动。	战棋控制区、封锁线	no
H034	3	楚河汉界	棋类吃子、区域与网络	堵塞行动	放置 → 侦测 → 锁定	对象占据关键位置，使路线或行动资格关闭。	堵路、将军、封口	no
H035	3	楚河汉界	棋类吃子、区域与网络	路线建设	放置 → 连接 → 侦测 → 解锁	新节点与旧网络连通后开放运输或收益。	铁路、道路、航线建设	no
H036	3	楚河汉界	棋类吃子、区域与网络	播种分配	行动者选择 → 拆分 → 分配 → 侦测 → 标量调整	取出一坑对象并依序分发，最后根据落点结算。	播棋、Mancala	no
H037	4	巧夺天工	拼图、模式与物理结构	拼块落位	行动者选择 → 位移 → 旋转 → 放置 → 侦测	调整部件位置与角度，落位后检查结构条件。	七巧板、拼图	no
H038	4	巧夺天工	拼图、模式与物理结构	下落拼块	随机选择 → 生成 → 控制权转移 → 位移 → 旋转 → 放置 → 侦测 → 移除	系统给出部件，玩家控制落位，完整结构被清除。	俄罗斯方块	no
H039	4	巧夺天工	拼图、模式与物理结构	三消交换	行动者选择 → 置换 → 侦测 → 移除 → 耦合位移 → 生成 → 放置	交换相邻对象，匹配后清除、下落并补充。	宝石消除类	yes
H040	4	巧夺天工	拼图、模式与物理结构	推箱到点	行动者选择 → 侦测 → 耦合位移 → 放置 → 锁定	推动箱体进入目标位，正确落点可固定或计数。	推箱子	no
H041	4	巧夺天工	拼图、模式与物理结构	合并进化	放置 → 侦测 → 合并 → 转化 → 替换	相同对象接触后组成整体并升为更高阶形态。	2048、合成游戏	no
H042	4	巧夺天工	拼图、模式与物理结构	管线连通	旋转 → 连接 → 侦测 → 解锁	调整部件方向，网络连通后开放流动或完成目标。	水管、铁路拼图	no
H043	4	巧夺天工	拼图、模式与物理结构	电路传导	放置 → 连接 → 分配 → 侦测 → 解锁	组件建立网络，信号或资源沿关系传播并触发终点。	电路谜题、逻辑门	no
H044	4	巧夺天工	拼图、模式与物理结构	物理堆叠	行动者选择 → 位移 → 侦测 → 放置	对象移动到允许的层级并正式占位，身份保持独立。	积木、叠叠乐	no
H045	4	巧夺天工	拼图、模式与物理结构	支撑崩塌	连接 → 侦测 → 断开 → 耦合位移	支撑关系失效后，依赖对象受到牵连并坠落。	积木倒塌、物理建筑	no
H046	4	巧夺天工	拼图、模式与物理结构	扫雷揭格	行动者选择 → 侦测 → 揭示 → 标量调整	选择格位并获得邻近危险信息，安全区域逐渐公开。	扫雷	no
H047	4	巧夺天工	拼图、模式与物理结构	逻辑填格	揭示 → 行动者选择 → 放置 → 侦测 → 锁定	依据提示填入状态，系统检查矛盾并固定结果。	数独、数织	no
H048	4	巧夺天工	拼图、模式与物理结构	时间回溯	行动者选择 → 锁定 → 置换 → 解锁	保存历史状态并把当前结构改写为过去版本。	时序谜题、撤销玩法	no
H049	5	针锋相对	动作、攻击与战斗结算	近战攻击	侦测 → 行动者选择 → 延迟执行 → 标量调整	确认目标，经过前摇后改变生命或韧性。	格斗、动作RPG	no
H050	5	针锋相对	动作、攻击与战斗结算	投射物攻击	生成 → 位移 → 侦测 → 标量调整 → 移除	弹体产生、飞行、碰撞结算并退出。	射击、弹幕游戏	no
H051	5	针锋相对	动作、攻击与战斗结算	即时射线	行动者选择 → 侦测 → 标量调整	选择方向后立即检测命中并结算。	即时命中射击	no
H052	5	针锋相对	动作、攻击与战斗结算	范围爆炸	生成 → 延迟执行 → 侦测 → 分配 → 标量调整 → 移除	爆炸在范围内寻找目标并分摊效果。	手雷、范围法术	no
H053	5	针锋相对	动作、攻击与战斗结算	连续技	侦测 → 标量调整 → 延迟执行 → 行动者选择 → 标量调整	连续输入维持窗口并改变连击等级。	格斗连段、动作连击	no
H054	5	针锋相对	动作、攻击与战斗结算	蓄力爆发	行动者选择 → 延迟执行 → 生成 → 侦测 → 标量调整 → 移除	等待积蓄后生成更强结果并完成结算。	蓄力射击、重击	no
H055	5	针锋相对	动作、攻击与战斗结算	格挡减伤	侦测 → 行动者选择 → 连接 → 标量调整 → 断开	防御状态与攻击建立临时关系，改变伤害结果。	盾防、格挡	no
H056	5	针锋相对	动作、攻击与战斗结算	精准招架	侦测 → 延迟执行 → 行动者选择 → 锁定 → 标量调整	在狭窄窗口响应，使攻击者失去行动并受惩罚。	招架、弹反	yes
H057	5	针锋相对	动作、攻击与战斗结算	闪避无敌	行动者选择 → 位移 → 锁定 → 延迟执行 → 解锁	移动同时暂时关闭受击资格，时间结束后恢复。	翻滚、冲刺闪避	no
H058	5	针锋相对	动作、攻击与战斗结算	击退	侦测 → 标量调整 → 耦合位移 → 放置	命中改变目标状态并迫使其移动。	击飞、击退、弹簧	no
H059	5	针锋相对	动作、攻击与战斗结算	暴击	随机选择 → 侦测 → 标量调整	随机或条件判定决定是否放大本次效果。	暴击、致命一击	no
H060	5	针锋相对	动作、攻击与战斗结算	处决	侦测 → 解锁 → 行动者选择 → 锁定 → 移除	目标进入特定状态后开放处决行动并使其退出。	终结技、斩杀	no
H061	6	绝处逢生	生命、生存、状态与时间压力	生命损失	侦测 → 标量调整 → 锁定 → 移除	生命跨过阈值后关闭行动并退出。	受伤、死亡	no
H062	6	绝处逢生	生命、生存、状态与时间压力	治疗恢复	行动者选择 → 消耗 → 标量调整	支付资源恢复生命或其他量值。	治疗、回血	no
H063	6	绝处逢生	生命、生存、状态与时间压力	护盾吸收	连接 → 侦测 → 标量调整 → 断开	护盾先承接损失，耗尽后解除保护关系。	能量盾、护甲层	no
H064	6	绝处逢生	生命、生存、状态与时间压力	持续伤害	连接 → 延迟执行 → 标量调整 → 侦测 → 断开	状态周期性扣减数值，满足结束条件后解除。	中毒、燃烧	no
H065	6	绝处逢生	生命、生存、状态与时间压力	临时增益	连接 → 标量调整 → 延迟执行 → 断开	临时状态增强对象，时间到后还原。	加速、力量提升	no
H066	6	绝处逢生	生命、生存、状态与时间压力	临时减益	连接 → 标量调整 → 锁定 → 延迟执行 → 断开	状态削弱数值或权限，持续期结束后解除。	冰冻、沉默、减速	no
H067	6	绝处逢生	生命、生存、状态与时间压力	技能冷却	行动者选择 → 锁定 → 延迟执行 → 解锁	使用技能后关闭入口，等待后重新开放。	冷却时间	yes
H068	6	绝处逢生	生命、生存、状态与时间压力	体力消耗	行动者选择 → 消耗 → 锁定 → 延迟执行 → 标量调整 → 解锁	行动支付体力，耗尽后必须等待恢复。	奔跑、攀爬、耐力	no
H069	6	绝处逢生	生命、生存、状态与时间压力	饥渴维持	延迟执行 → 标量调整 → 侦测 → 消耗 → 标量调整	生存值随时间下降，玩家消耗补给恢复。	生存游戏饥饿与口渴	no
H070	6	绝处逢生	生命、生存、状态与时间压力	温度调节	侦测 → 标量调整 → 锁定 → 消耗 → 标量调整	环境改变温度，越界限制行动，资源可纠正。	寒冷、过热	no
H071	6	绝处逢生	生命、生存、状态与时间压力	耐久损耗	行动者选择 → 标量调整 → 侦测 → 锁定 → 替换	反复使用降低耐久，损坏后禁用或换成残骸。	武器耐久、车辆损坏	no
H072	6	绝处逢生	生命、生存、状态与时间压力	昼夜周期	延迟执行 → 替换 → 揭示 → 锁定 → 解锁	时间推进改变环境身份、信息与行动权限。	昼夜循环、宵禁	no
H073	7	明察秋毫	信息、隐藏、侦查与推理	战争迷雾	隐藏 → 位移 → 侦测 → 揭示	移动视野单位，逐步公开未知区域。	即时战略、探索游戏	no
H074	7	明察秋毫	信息、隐藏、侦查与推理	隐藏身份	随机选择 → 控制权转移 → 隐藏 → 揭示	秘密分配角色，在条件满足时公开身份。	狼人杀、阵营推理	no
H075	7	明察秋毫	信息、隐藏、侦查与推理	秘密部署	行动者选择 → 放置 → 隐藏 → 侦测 → 揭示	单位先秘密落位，之后被探测或交战公开。	海战棋、战争游戏	no
H076	7	明察秋毫	信息、隐藏、侦查与推理	潜行暴露	隐藏 → 位移 → 侦测 → 揭示 → 锁定	隐藏移动时接受侦测，暴露后关闭潜行资格。	潜入游戏	yes
H077	7	明察秋毫	信息、隐藏、侦查与推理	警戒升级	侦测 → 标量调整 → 揭示 → 连接 → 锁定	敌人累积警戒并共享目标，达到阈值后进入追击。	潜行警报、通缉度	no
H078	7	明察秋毫	信息、隐藏、侦查与推理	视线判定	旋转 → 侦测 → 揭示 → 行动者选择	朝向决定可见范围，目标进入视线后开放行动。	战术视野、守卫巡逻	no
H079	7	明察秋毫	信息、隐藏、侦查与推理	线索收集	侦测 → 揭示 → 控制权转移 → 连接	发现线索并纳入记录，再与其他线索建立关系。	侦探游戏、冒险解谜	no
H080	7	明察秋毫	信息、隐藏、侦查与推理	演绎排除	揭示 → 行动者选择 → 锁定 → 侦测 → 揭示	依据已知信息排除候选，逐步缩小答案空间。	推理、猜谜	no
H081	7	明察秋毫	信息、隐藏、侦查与推理	记忆配对	隐藏 → 行动者选择 → 揭示 → 侦测 → 合并 → 移除	翻开对象并比较，匹配者成组退出。	翻牌记忆	no
H082	7	明察秋毫	信息、隐藏、侦查与推理	虚张声势	隐藏 → 行动者选择 → 揭示 → 控制权转移	玩家基于私密信息行动，随后公开并结算归属。	扑克诈唬、吹牛	no
H083	7	明察秋毫	信息、隐藏、侦查与推理	陷阱触发	放置 → 隐藏 → 侦测 → 揭示 → 延迟执行 → 标量调整	陷阱秘密占位，目标进入后公开并结算。	地雷、伏击	no
H084	7	明察秋毫	信息、隐藏、侦查与推理	地图侦察	行动者选择 → 消耗 → 侦测 → 揭示 → 连接	支付侦察资源，公开远处信息并加入地图关系。	侦察机、望远镜、雷达	no
H085	8	先来后到	回合、行动权限与程序安排	轮流回合	控制权转移 → 解锁 → 行动者选择 → 锁定 → 控制权转移	行动权依序交接，每位完成后转给下一位。	棋类、回合制游戏	no
H086	8	先来后到	回合、行动权限与程序安排	同时选择	解锁 → 行动者选择 → 锁定 → 揭示 → 分配	所有人秘密决定，收齐后同时公开并结算。	同时行动桌游	no
H087	8	先来后到	回合、行动权限与程序安排	行动点	解锁 → 行动者选择 → 消耗 → 锁定 → 控制权转移	玩家用有限行动点购买动作，耗尽后结束回合。	战棋、策略RPG	no
H088	8	先来后到	回合、行动权限与程序安排	工人放置	控制权转移 → 行动者选择 → 放置 → 锁定 → 生成	用有限工人占据行动位，阻止他人并获得结果。	工人放置桌游	no
H089	8	先来后到	回合、行动权限与程序安排	编程行动	行动者选择 → 置换 → 锁定 → 揭示 → 延迟执行 → 位移	提前排列命令，锁定后依序执行。	机器人编程、预设路线	yes
H090	8	先来后到	回合、行动权限与程序安排	行动队列	行动者选择 → 放置 → 连接 → 延迟执行 → 移除	动作进入队列并按顺序触发，执行后退出。	建造队列、技能队列	no
H091	8	先来后到	回合、行动权限与程序安排	中断响应	侦测 → 解锁 → 行动者选择 → 锁定 → 替换	检测事件后开放响应窗口，响应可改写原结果。	反应牌、打断技能	no
H092	8	先来后到	回合、行动权限与程序安排	先攻排序	侦测 → 标量调整 → 置换 → 控制权转移	依据速度或随机值重排出手顺序。	RPG先攻、速度条	no
H093	8	先来后到	回合、行动权限与程序安排	轮盘选行动	位移 → 侦测 → 行动者选择 → 锁定 → 解锁	指示物沿环移动，停留区域决定可用行动。	Rondel轮盘机制	no
H094	8	先来后到	回合、行动权限与程序安排	过牌顺序	行动者选择 → 锁定 → 控制权转移 → 置换	选择放弃行动，先后通过改变后续顺序。	竞价过牌、回合顺位	no
H095	8	先来后到	回合、行动权限与程序安排	竞价争先	揭示 → 行动者选择 → 消耗 → 置换 → 控制权转移	玩家支付资源竞争行动顺序或优先权。	顺位竞拍	no
H096	8	先来后到	回合、行动权限与程序安排	实时倒计时	解锁 → 延迟执行 → 行动者选择 → 锁定	行动窗口在真实时间后关闭，迫使即时决策。	实时桌游、限时操作	no
H097	9	变幻莫测	卡牌、骰子与随机容器	抽牌出牌	随机选择 → 控制权转移 → 揭示 → 行动者选择 → 消耗 → 移除	牌从牌库进入手中，使用后离开手牌。	多数卡牌游戏	no
H098	9	变幻莫测	卡牌、骰子与随机容器	牌库循环	随机选择 → 控制权转移 → 行动者选择 → 移除 → 置换 → 随机选择	抽取、使用、弃置，牌库耗尽后重排。	循环牌库、弃牌回洗	no
H099	9	变幻莫测	卡牌、骰子与随机容器	公开轮抽	揭示 → 行动者选择 → 控制权转移 → 置换	玩家轮流从公开候选中取牌并更新候选。	公开选牌	no
H100	9	变幻莫测	卡牌、骰子与随机容器	封闭轮抽	控制权转移 → 隐藏 → 行动者选择 → 置换 → 揭示	每人秘密选取，再把剩余候选传给下一位。	轮抽卡牌	no
H101	9	变幻莫测	卡牌、骰子与随机容器	牌库构筑	揭示 → 行动者选择 → 消耗 → 控制权转移 → 置换	购买新牌加入循环，逐步改变未来抽取结构。	DBG牌库构筑	yes
H102	9	变幻莫测	卡牌、骰子与随机容器	袋池构筑	随机选择 → 生成 → 控制权转移 → 行动者选择 → 置换	从袋池抽取对象，并通过增删改变未来概率。	袋抽、骰池构筑	no
H103	9	变幻莫测	卡牌、骰子与随机容器	手牌管理	控制权转移 → 隐藏 → 行动者选择 → 消耗 → 揭示	玩家在有限私密资源中选择使用时机。	手牌管理	no
H104	9	变幻莫测	卡牌、骰子与随机容器	吃墩	控制权转移 → 行动者选择 → 揭示 → 侦测 → 控制权转移	各方出牌后比较规则，胜者取得整墩。	桥牌、红心大战	no
H105	9	变幻莫测	卡牌、骰子与随机容器	套装收集	控制权转移 → 连接 → 侦测 → 标量调整	收集对象形成集合，满足组合后计分或解锁。	套装收集	no
H106	9	变幻莫测	卡牌、骰子与随机容器	多用途卡	揭示 → 行动者选择 → 转化 → 消耗	同一张卡由玩家决定转成资源、行动或效果。	多用途卡牌	no
H107	9	变幻莫测	卡牌、骰子与随机容器	骰子判定	随机选择 → 揭示 → 侦测 → 标量调整	随机结果与条件比较，随后修改游戏状态。	掷骰检定、战斗骰	no
H108	9	变幻莫测	卡牌、骰子与随机容器	重掷锁骰	随机选择 → 揭示 → 行动者选择 → 锁定 → 随机选择	玩家保留部分结果并重掷其余对象。	快艇骰子、骰池游戏	no
H109	10	奇货可居	交易、竞拍与金融风险	商店购买	揭示 → 行动者选择 → 消耗 → 控制权转移	商品与价格公开，支付后改变所有权。	商店、补给站	no
H110	10	奇货可居	交易、竞拍与金融风险	玩家交易	行动者选择 → 揭示 → 控制权转移 → 分配	双方确认交换内容并重新分配资产。	桌游交易、MMO交易	no
H111	10	奇货可居	交易、竞拍与金融风险	英式竞拍	揭示 → 行动者选择 → 标量调整 → 锁定 → 消耗 → 控制权转移	价格逐步上升，最后剩余竞价者支付并取得标的。	公开加价拍卖	yes
H112	10	奇货可居	交易、竞拍与金融风险	密封竞价	隐藏 → 行动者选择 → 锁定 → 揭示 → 侦测 → 消耗 → 控制权转移	所有人秘密报价，同时公开并比较。	暗标拍卖	no
H113	10	奇货可居	交易、竞拍与金融风险	荷兰竞拍	揭示 → 延迟执行 → 标量调整 → 行动者选择 → 消耗 → 控制权转移	价格随时间下降，首位接受者成交。	降价拍卖	no
H114	10	奇货可居	交易、竞拍与金融风险	供需市场	生成 → 分配 → 侦测 → 标量调整 → 行动者选择 → 控制权转移	供给与需求改变价格，玩家据此交易。	动态市场、商品交易	no
H115	10	奇货可居	交易、竞拍与金融风险	持股分红	控制权转移 → 连接 → 生成 → 分配	资产所有权与收益源连接，收益按持股分发。	股票、公司经营桌游	no
H116	10	奇货可居	交易、竞拍与金融风险	下注结算	行动者选择 → 消耗 → 隐藏 → 揭示 → 侦测 → 分配	玩家先支付赌注，结果公开后奖金重新分配。	扑克、赛马下注	no
H117	10	奇货可居	交易、竞拍与金融风险	贷款债务	行动者选择 → 生成 → 控制权转移 → 连接 → 延迟执行 → 消耗	立即获得资源，同时建立未来偿还关系。	贷款、抵押	no
H118	10	奇货可居	交易、竞拍与金融风险	复利增长	连接 → 延迟执行 → 标量调整 → 转化	已有资源在周期结算后形成新的本金。	利息、滚存收益	no
H119	10	奇货可居	交易、竞拍与金融风险	合同履行	揭示 → 行动者选择 → 连接 → 侦测 → 生成 → 分配	接受目标后建立义务，达成条件再发放回报。	订单、悬赏、合同	no
H120	10	奇货可居	交易、竞拍与金融风险	贿赂改判	行动者选择 → 消耗 → 控制权转移 → 替换	支付资源改变另一行动者或系统的决定。	贿赂、买票、收买守卫	no
H121	11	开源节流	生产、物流与模拟经营	周期收入	连接 → 延迟执行 → 生成 → 分配	资产与收益源相连，按周期产生并分配资源。	城市税收、地产收入	no
H122	11	开源节流	生产、物流与模拟经营	自动资源增长	延迟执行 → 标量调整 → 侦测	资源随时间增加，并接受容量或阈值检查。	放置游戏、人口增长	no
H123	11	开源节流	生产、物流与模拟经营	基础生产	消耗 → 转化 → 生成 → 放置	投入原料，转成产物并进入世界。	农场、工厂、烹饪	no
H124	11	开源节流	生产、物流与模拟经营	多级加工	生成 → 放置 → 耦合位移 → 转化 → 连接 → 转化	产物沿多个节点运输并逐级加工。	流水线、生产链	yes
H125	11	开源节流	生产、物流与模拟经营	取货送达	侦测 → 控制权转移 → 连接 → 耦合位移 → 断开 → 分配	取得货物、运输并在目的地交付。	运输模拟、快递任务	no
H126	11	开源节流	生产、物流与模拟经营	物流分流	连接 → 侦测 → 行动者选择 → 分配 → 耦合位移	网络识别货物并决定去往哪个分支。	分拣、物流中心	no
H127	11	开源节流	生产、物流与模拟经营	生产排队	行动者选择 → 放置 → 锁定 → 延迟执行 → 生成 → 移除	订单进入队列，等待加工后产出并退出队列。	建造队列、制造订单	no
H128	11	开源节流	生产、物流与模拟经营	资源配给	侦测 → 行动者选择 → 分配 → 锁定 → 解锁	有限资源在多个目标间分配，目标据此开停。	电网、预算、粮食	no
H129	11	开源节流	生产、物流与模拟经营	维护消耗	连接 → 延迟执行 → 消耗 → 侦测 → 锁定	系统持续支付维护费，无法支付时停止运行。	军队维护、建筑运营	no
H130	11	开源节流	生产、物流与模拟经营	网络流动	连接 → 分配 → 侦测 → 标量调整	资源沿网络传播，瓶颈改变节点存量。	水电网、交通网	no
H131	11	开源节流	生产、物流与模拟经营	人口就业	生成 → 分配 → 连接 → 转化 → 生成	人口被分配到岗位，建立劳动关系并产出。	城市建造、殖民模拟	no
H132	11	开源节流	生产、物流与模拟经营	自动化引擎	行动者选择 → 连接 → 生成 → 转化 → 分配 → 标量调整	玩家搭建自动系统，产出反过来扩大系统能力。	引擎构筑、自动工厂	no
H133	12	百炼成钢	制作、成长、装备与长期解锁	材料制作	行动者选择 → 消耗 → 合并 → 转化 → 生成	选择材料并支付，组成新物品。	锻造、炼金、合成	no
H134	12	百炼成钢	制作、成长、装备与长期解锁	品质升级	行动者选择 → 消耗 → 替换 → 标量调整	支付资源让新版本接替旧对象并提高数值。	强化、升星	no
H135	12	百炼成钢	制作、成长、装备与长期解锁	经验升级	侦测 → 标量调整 → 解锁 → 替换	经验跨过阈值后开放新等级并更新身份。	角色等级	no
H136	12	百炼成钢	制作、成长、装备与长期解锁	技能树	揭示 → 行动者选择 → 消耗 → 连接 → 解锁	支付点数连接发展节点并取得能力。	天赋树、科技树	yes
H137	12	百炼成钢	制作、成长、装备与长期解锁	随机词缀	随机选择 → 生成 → 连接 → 标量调整	装备生成时随机获得属性关系。	刷宝装备、词缀	no
H138	12	百炼成钢	制作、成长、装备与长期解锁	耐久修理	侦测 → 行动者选择 → 消耗 → 标量调整 → 解锁	支付材料恢复耐久并重新开放使用。	修理装备、载具维修	no
H139	12	百炼成钢	制作、成长、装备与长期解锁	科技研究	揭示 → 行动者选择 → 消耗 → 延迟执行 → 解锁	选择研究方向并投入资源，等待后取得资格。	文明科技、科研	no
H140	12	百炼成钢	制作、成长、装备与长期解锁	内容解锁	侦测 → 标量调整 → 揭示 → 解锁	累计条件达成后公开并开放新内容。	角色、关卡、模式解锁	no
H141	12	百炼成钢	制作、成长、装备与长期解锁	转生重置	行动者选择 → 移除 → 标量调整 → 生成 → 解锁	放弃本轮进度，换取永久增益并重新开始。	转生、声望系统	no
H142	12	百炼成钢	制作、成长、装备与长期解锁	成就奖励	揭示 → 解锁 → 侦测 → 标量调整 → 生成 → 分配	目标开放后记录行为，达成时生成奖励。	成就、挑战	no
H143	12	百炼成钢	制作、成长、装备与长期解锁	任务完成	揭示 → 行动者选择 → 连接 → 侦测 → 生成 → 分配 → 断开	接受任务、跟踪条件、结算奖励并解除关系。	任务系统	no
H144	12	百炼成钢	制作、成长、装备与长期解锁	收藏套装	控制权转移 → 连接 → 侦测 → 解锁 → 标量调整	收集完整集合后开放额外效果。	图鉴、套装奖励	no
H145	13	千人千面	角色扮演、叙事与社会关系	对话选择	揭示 → 行动者选择 → 锁定 → 解锁 → 替换	公开选项后由玩家决定，关闭部分路线并改写状态。	对话树、互动小说	no
H146	13	千人千面	角色扮演、叙事与社会关系	分支剧情	侦测 → 连接 → 揭示 → 行动者选择 → 替换	读取历史条件，呈现不同分支并改变后续剧情。	叙事冒险	yes
H147	13	千人千面	角色扮演、叙事与社会关系	道德后果	行动者选择 → 标量调整 → 隐藏 → 延迟执行 → 揭示	选择改变隐藏评价，未来再公开后果。	善恶值、长期抉择	no
H148	13	千人千面	角色扮演、叙事与社会关系	关系培养	行动者选择 → 分配 → 连接 → 标量调整 → 解锁	向角色投入资源，提高关系并开放事件。	好感度、社交模拟	no
H149	13	千人千面	角色扮演、叙事与社会关系	声望阵营	侦测 → 标量调整 → 连接 → 锁定 → 解锁	行为改变阵营声望，从而关闭或开放权限。	派系声望	no
H150	13	千人千面	角色扮演、叙事与社会关系	队伍编成	行动者选择 → 控制权转移 → 连接 → 置换	选择成员加入队伍并调整站位或顺序。	RPG队伍、编队	no
H151	13	千人千面	角色扮演、叙事与社会关系	仇恨目标	侦测 → 标量调整 → 行动者选择 → 连接 → 位移	敌人比较威胁值，锁定目标并靠近。	MMO仇恨、坦克拉怪	no
